a,b,c,d,e,f
-1.62825941232524,54.7121880278969,7.0148862181664695,87.6,5.8,2560.0
-1.62840040868568,54.57545303370829,7.0315018470855,86.7,5.9,2606.0
-1.7920061075960299,55.2849346017208,6.944841209090691,77.5,5.2,2693.0
-1.5232002276307401,54.479881348354,7.0100853541986,95.4,6.0,2667.0
-1.75863173044408,54.74698462233379,6.93720527827824,79.7,5.8,2890.0
-1.4908768216974801,54.357571796217,7.08244165359099,94.9,6.1,2531.0
-1.6567337669103799,54.6275726299161,6.97724745203627,87.8,5.9,2632.0
-1.7522077111700498,54.2349352714069,6.973897642041639,87.7,6.3,2610.0
-1.6498603314974298,54.675031778891494,7.16005491990399,92.8,5.8,2527.0
-1.5058163191896998,54.5732492166172,6.97711617640708,87.8,5.9,2626.0
-1.7574616460808603,54.5730949299479,7.0378049298101795,87.3,5.9,2486.0
-1.65477541534797,54.6369302291541,7.026746569978321,93.4,5.9,2711.0
-1.5698294903562502,54.468044545681494,7.0982641700161695,94.3,6.0,2517.0
-1.4290080668151999,54.6518825751974,7.0606344886227905,95.1,5.8,2564.0
-1.5438889155353899,54.591427144795,6.9729563064378794,88.3,5.9,2602.0
-1.5539128365783101,54.636491606152106,6.94517835799567,88.7,5.9,2597.0
-1.49999397840025,54.7281507225013,7.04941285542143,87.7,5.8,2497.0
-1.9085880615658701,54.7065781883636,6.77287973001022,87.7,5.8,2097.0
-1.57312545736151,54.584454000826206,7.09288202811584,93.8,5.9,2561.0
-1.65870822850249,54.7227701738947,6.963877530936131,87.1,5.8,2715.0
-1.8386690829222399,54.8922924896975,6.9851067729575504,85.3,5.6,2626.0
-1.6152146332706099,54.463417665397394,7.0067885955812,93.4,6.0,2600.0
-1.56831183632653,54.505976258805894,7.16432608940405,92.1,6.0,2509.0
-1.5584632996003702,54.668001656624,7.19730569971717,92.6,5.8,2592.0
-1.6638461358884902,54.4684951180862,7.05529489078632,88.3,6.0,2557.0
